"mature_mirna_id","target_symbol"
"hsa-miR-3120-3p","CENPA"
"hsa-miR-3179","CYP1A1"
"hsa-miR-1305","CENPA"
"hsa-miR-4713-5p","CENPA"
"hsa-miR-4282","CENPA"
"hsa-miR-22-5p","CYP1A1"
"hsa-miR-548c-3p","CENPA"
"hsa-miR-629-3p","CENPA"
"hsa-miR-484","CYP1A1"
"hsa-miR-4493","CYP1A1"
"hsa-miR-4699-3p","CENPA"
"hsa-miR-320a-3p","CENPA"
"hsa-miR-320c","CENPA"
"hsa-miR-320b","CENPA"
"hsa-miR-320d","CENPA"
"hsa-miR-543","CYP1A1"
"hsa-miR-944","CENPA"
"hsa-miR-3647-3p","CENPA"
"hsa-miR-3609","CENPA"
"hsa-miR-664a-3p","CENPA"
"hsa-miR-186-5p","CENPA"
"hsa-miR-4275","CENPA"
"hsa-miR-545-3p","CENPA"
"hsa-miR-302b-5p","CENPA"
"hsa-miR-302d-5p","CENPA"
"hsa-miR-646","CENPA"
"hsa-miR-615-5p","CENPA"
"hsa-miR-155-3p","CENPA"
"hsa-miR-609","CENPA"
"hsa-miR-198","CENPA"
"hsa-miR-708-3p","CENPA"
"hsa-miR-921","CENPA"
"hsa-miR-525-5p","CENPA"
"hsa-miR-21-5p","CENPA"
"hsa-miR-21-3p","CENPA"
"hsa-miR-644a","CENPA"
"hsa-miR-195-3p","CENPA"
"hsa-miR-16-2-3p","CENPA"
"hsa-miR-1264","CYP1A1"
"hsa-miR-502-5p","CENPA"
"hsa-miR-624-5p","CENPA"
"hsa-miR-3173-3p","CENPA"
"hsa-miR-1265","CYP1A1"
"hsa-miR-589-3p","CENPA"
"hsa-miR-192-3p","CENPA"
"hsa-miR-2116-5p","CYP1A1"
"hsa-miR-142-3p","CYP1A1"
"hsa-miR-140-3p","CENPA"
"hsa-miR-4311","CENPA"
"hsa-miR-369-3p","CENPA"
"hsa-miR-2116-3p","CENPA"
"hsa-miR-302c-5p","CYP1A1"
"hsa-miR-143-3p","CENPA"
"hsa-miR-1323","CENPA"
"hsa-miR-548o-3p","CENPA"
"hsa-miR-3121-3p","CYP1A1"
"hsa-miR-548n","CENPA"
"hsa-miR-548k","CENPA"
"hsa-miR-3186-5p","CENPA"
"hsa-miR-551b-5p","CYP1A1"
"hsa-miR-103b","CENPA"
"hsa-miR-380-3p","CENPA"
"hsa-miR-1234-3p","CENPA"
"hsa-miR-493-5p","CENPA"
"hsa-miR-466","CYP1A1"
"hsa-miR-219a-5p","CENPA"
"hsa-miR-4755-5p","CENPA"
"hsa-miR-5006-3p","CENPA"
"hsa-miR-616-5p","CENPA"
"hsa-miR-373-5p","CENPA"
"hsa-miR-371b-5p","CENPA"
"hsa-miR-511-3p","CENPA"
"hsa-miR-7851-3p","CYP1A1"
"hsa-miR-5695","CENPA"
"hsa-miR-4786-5p","CYP1A1"
"hsa-miR-6729-3p","CENPA"
"hsa-miR-320a-5p","CENPA"
"hsa-miR-4446-5p","CENPA"
